name,sub_network,jump_desc,category,Delta_error
MgB2,pi,gap(Δ)→Debye,SC_Binary,0.00959425
MgB2,pi,Debye→electronic(E_F),SC_Binary,0.0054318100000000005
MgB2,sigma,thermal@Tc→gap(Δ),SC_Binary,-0.0090774
MgB2,sigma,gap(Δ)→Debye,SC_Binary,0.009712199999999997
MgB2,sigma,Debye→electronic(E_F),SC_Binary,-0.0093602
MgB2,sigma-vs-pi,gap(sigma) / gap(pi),SC_Binary,0.0
MgB2,sigma-vs-pi,Debye(sigma) / Debye(pi),SC_Binary,0.0
Nb2PdS5,band1,thermal@Tc→gap(Δ),SC_Binary,0.0
Nb2PdS5,band1,gap(Δ)→Debye,SC_Binary,0.0
Nb2PdS5,band1,Debye→electronic(E_F),SC_Binary,0.0
Nb2PdS5,band2,thermal@Tc→gap(Δ),SC_Binary,0.0
Nb2PdS5,band2,gap(Δ)→Debye,SC_Binary,0.0
Nb2PdS5,band2,Debye→electronic(E_F),SC_Binary,0.0
Nb2PdS5,band1-vs-band2,gap(band1) / gap(band2),SC_Binary,0.0
Nb2PdS5,band1-vs-band2,Debye(band1) / Debye(band2),SC_Binary,0.0
TaIr2B2,band1,thermal@Tc→gap(Δ),SC_Binary,0.0
TaIr2B2,band1,gap(Δ)→Debye,SC_Binary,0.0
TaIr2B2,band1,Debye→electronic(E_F),SC_Binary,0.0
TaIr2B2,band2,thermal@Tc→gap(Δ),SC_Binary,0.0
TaIr2B2,band2,gap(Δ)→Debye,SC_Binary,0.0
TaIr2B2,band2,Debye→electronic(E_F),SC_Binary,0.0
TaIr2B2,band1-vs-band2,gap(band1) / gap(band2),SC_Binary,0.0
TaIr2B2,band1-vs-band2,Debye(band1) / Debye(band2),SC_Binary,0.0
V3Si,gap1,thermal@Tc→gap(Δ),SC_Binary,0.0
V3Si,gap1,gap(Δ)→Debye,SC_Binary,0.0
V3Si,gap1,Debye→electronic(E_F),SC_Binary,0.0
V3Si,gap2,thermal@Tc→gap(Δ),SC_Binary,0.0
V3Si,gap2,gap(Δ)→Debye,SC_Binary,0.0
V3Si,gap2,Debye→electronic(E_F),SC_Binary,0.0
V3Si,gap1-vs-gap2,gap(gap1) / gap(gap2),SC_Binary,0.0
V3Si,gap1-vs-gap2,Debye(gap1) / Debye(gap2),SC_Binary,0.0
