name,sum_err_before,sum_err_after_full
Li2MgH16,0.0511379,0.0514801
LiFeAs,0.00856246,0.00775464
LuB12,0.11186,0.551001
LuH3,0.0974193,0.103782
MgCNi3,0.0104219,0.0152143
MgH12,0.0405104,0.040525
MgH6,0.0366922,0.0371749
MnH8,0.0269906,0.0280314
Mo,0.15637,0.218305
Mo3Al,0.128794,0.18145
Mo3Si,0.19438,0.229051
MoC,0.102564,0.104967
MoH11,0.0107948,0.0104504
MoRe,0.0784098,0.0835196
Na2CsC60,0.0279898,0.027489
NaAlSi,0.0160702,0.0161147
Nb,0.0496147,0.0497188
Nb3Al,0.104035,0.104148
Nb3Au,0.0654759,0.0668618
Nb3Ge,0.0328651,0.0328943
Nb3Sb,0.166452,0.434061
Nb3Sn,0.0208529,0.0231267
NbN,0.199938,0.200257
NbSe2 (monolayer),0.104122,0.13853
NbTi,0.0914516,0.0964263
NbZr,0.0897783,0.0912536
Nd1.85Ce0.15CuO4,0.0357153,0.0357477
Nd2-xCexCuO4 (NCCO),0.011712,0.0124928
NdFeAsO0.9F0.1,0.0189106,0.0192088
NdH9,0.0387285,0.0375286
NiH4,0.0180222,0.0180427
NiMo6S8,0.0204297,0.0132113
Os,0.107958,0.216593
Pa,0.0182362,0.0217018
Pb,0.128457,0.128589
PbMo6S8,0.0210165,0.0202607
PbMo6Se8,0.0343906,0.0263395
Pr2-xCexCuO4 (PCCO),0.011712,0.0124928
PrFeAsO0.9F0.1,0.0189106,0.0192088
PrH10,0.027036,0.0259247
PrH9,0.03659,0.0361741
Rb3C60,0.0112685,0.0114844
RbC8,0.0125504,0.835168
Re,0.0548446,0.0958431
Rh,0.129582,12.6432
Ru,0.10532,0.331953
RuO2,0.00920948,0.0925726
SH3 (Cmca),0.0282012,0.0290044
ScH12,0.0805425,0.0805751
ScH3,0.133183,0.135672
ScH6,0.138817,0.138909
ScZrH12,0.0466164,0.0466353
SeH2,0.0191092,0.0180002
Si2H6,0.0128418,0.0115284
SmFeAsO0.9F0.1,0.0181504,0.0174503
SmH9,0.019802,0.0189438
Sn,0.139075,0.139664
SnMo6S8,0.0266459,0.0240975
SrAlSi,0.0200186,0.0297205
SrC6,0.122587,0.155252
SrH10,0.0260437,0.0265289
SrH22,0.00373103,0.00325734
SrH6,0.098843,0.0999076
SrTiO3-doped,0.00887321,0.210265
Ta,0.119282,0.122755
TaC,0.103743,0.107016
TaH6,0.0216708,0.02032
TbH9,0.0385913,0.0376418
Tc,0.118844,0.122628
Th,0.110484,0.130552
Th4H15,0.0129522,0.011548
ThC2,0.0302613,0.0367563
ThH10,0.045824,0.0461622
ThH9,0.0272527,0.0269227
Ti,0.157986,0.336619
TiH10,0.147186,0.148087
TiN,0.0500795,0.0590255
Tl,0.201521,0.206477
Tl2Ba2Ca2Cu3O10 (Tl-2223),0.013306,0.0129435
U (alpha),0.011038,0.189973
UBe13,0.0218189,0.0572291
UH7,0.0258025,0.0237677
UPd2Al3,0.0430241,0.0597693
UPt3,0.0465541,0.117589
URu2Si2,0.0414084,0.0673106
V,0.134119,0.146319
V3Ga,0.169785,0.172261
V3Si,0.18644,0.187858
VH8,0.0105342,0.00942982
WC,0.123804,0.127423
WRe,0.0258229,0.0259475
Y3LuH24,0.0541256,0.0543591
YB6,0.119324,0.135483
YBa2Cu3O7 (YBCO),0.0196892,0.019199
YC2,0.0203826,0.0155182
YCaH18,0.0574607,0.0574805
YH10,0.0694099,0.0698376
YH4,0.101461,0.103012
YH6,0.210851,0.210902
YH9,0.177228,0.177517
YHfH12,0.0461789,0.0452391
YLu3H24,0.0341615,0.0343888
YLuH12,0.0442755,0.0449551
YThH12,0.0207434,0.0207508
YbC6,0.106241,0.111993
Zn,0.130591,0.191379
ZnH6,0.0293482,0.0316111
Zr,0.188197,0.275388
ZrB12,0.112945,0.144392
ZrH10,0.217576,0.218436
ZrN,0.0491601,0.0493296
_-(BEDT-TTF)2I3,0.0178297,0.0332134
