name,sub_network,category,lock_family,jump_type,jump_desc,d,X,C_AB,R_obs,chosen_lock,prime_value,err_before,R_corr_eta,err_after_eta,R_corr_kappa,err_after_kappa
FeSe,hole-band-vs-electron-band,SC_IronBased,rational,inter,gap(hole-band) / gap(electron-band),,,,6.1507,rational,6.125,0.004179,6.1507,0.004179,6.1507,0.004179
FeSe,hole-band-vs-electron-band,SC_IronBased,rational,inter,Debye(hole-band) / Debye(electron-band),,,,1.04185,rational,1,0.0401695,1.04185,0.0401695,1.04185,0.0401695
Helium-3 (He-3) B-phase,0-bar,Superfluid,rational,intra,thermal@Tc→gap(Δ),3,1852.23,249.961,1.83887,rational,1.875,0.0196454,1.64671,0.138633,1.64671,0.138633
Helium-3 (He-3) B-phase,0-bar,Superfluid,rational,intra,gap(Δ)→Debye,2,1852.23,249.961,1007.26,rational,1008,0.000732284,937.089,0.0756711,937.089,0.0756711
Helium-3 (He-3) B-phase,0-bar,Superfluid,rational,intra,Debye→electronic(E_F),1,1852.23,249.961,1.00974,rational,1,0.00964494,0.974566,0.0260977,0.974566,0.0260977
Helium-3 (He-3) B-phase,10-bar,Superfluid,rational,intra,thermal@Tc→gap(Δ),3,1602.27,249.961,1.68485,rational,1.66667,0.0107935,1.53254,0.0875159,1.53254,0.0875159
Helium-3 (He-3) B-phase,10-bar,Superfluid,rational,intra,gap(Δ)→Debye,2,1602.27,249.961,950.985,rational,945,0.00629303,893.673,0.0574336,893.673,0.0574336
Helium-3 (He-3) B-phase,10-bar,Superfluid,rational,intra,Debye→electronic(E_F),1,1602.27,249.961,0.970639,rational,1,0.0302497,0.941391,0.0622584,0.941391,0.0622584
Helium-3 (He-3) B-phase,0-bar-vs-10-bar,Superfluid,rational,inter,gap(0-bar) / gap(10-bar),,,,0.962411,rational,1,0.0390571,0.962411,0.0390571,0.962411,0.0390571
Helium-3 (He-3) B-phase,0-bar-vs-10-bar,Superfluid,rational,inter,Debye(0-bar) / Debye(10-bar),,,,1.01937,rational,1,0.0189971,1.01937,0.0189971,1.01937,0.0189971
Helium-4 (He-4),1-bar,Superfluid,rational,intra,thermal@Tc→gap(Δ),3,4.17741,0.263801,3.96439,rational,4,0.00898174,3.96346,0.0092196,3.95977,0.0101607
Helium-4 (He-4),1-bar,Superfluid,rational,intra,gap(Δ)→Debye,2,4.17741,0.263801,1.05373,rational,1,0.0509917,1.05357,0.0508426,1.05258,0.0499576
Helium-4 (He-4),1-bar,Superfluid,rational,intra,Debye→electronic(E_F),1,4.17741,0.263801,0.917973,rational,0.875,0.0468134,0.917901,0.0467385,0.917046,0.0458498
Helium-4 (He-4),10-bar,Superfluid,rational,intra,thermal@Tc→gap(Δ),3,3.91361,0.263801,4.01773,rational,4,0.00441197,4.01684,0.00419209,4.0131,0.00326354
Helium-4 (He-4),10-bar,Superfluid,rational,intra,gap(Δ)→Debye,2,3.91361,0.263801,0.974085,rational,1,0.0266049,0.973941,0.026756,0.973034,0.0277134
Helium-4 (He-4),10-bar,Superfluid,rational,intra,Debye→electronic(E_F),1,3.91361,0.263801,1.03873,rational,1,0.0372836,1.03865,0.0372128,1.03768,0.0363151
Helium-4 (He-4),1-bar-vs-10-bar,Superfluid,rational,inter,gap(1-bar) / gap(10-bar),,,,1.01546,rational,1,0.0152271,1.01546,0.0152271,1.01546,0.0152271
Helium-4 (He-4),1-bar-vs-10-bar,Superfluid,rational,inter,Debye(1-bar) / Debye(10-bar),,,,1.09849,rational,1.125,0.0241305,1.09849,0.0241305,1.09849,0.0241305
LaB2,sigma,SC_Binary,mixed,intra,thermal@Tc→gap(Δ),3,14.2727,0.698292,2.11314,rational,2.14286,0.014064,2.11144,0.0148812,2.0992,0.0207972
LaB2,sigma,SC_Binary,mixed,intra,gap(Δ)→Debye,2,14.2727,0.698292,6.75425,rational,6.75,0.000629556,6.75063,9.27747e-05,6.71151,0.00573435
LaB2,sigma,SC_Binary,mixed,intra,Debye→electronic(E_F),1,14.2727,0.698292,147.692,integer,147,0.00468752,147.653,0.00442029,146.797,0.00138005
LaB2,pi,SC_Binary,mixed,intra,thermal@Tc→gap(Δ),3,13.5744,0.698292,1.53607,rational,1.5,0.0234795,1.53489,0.0227311,1.52599,0.0170345
LaB2,pi,SC_Binary,mixed,intra,gap(Δ)→Debye,2,13.5744,0.698292,8.8371,rational,8.75,0.00985661,8.83259,0.00935082,8.78142,0.0035778
LaB2,pi,SC_Binary,mixed,intra,Debye→electronic(E_F),1,13.5744,0.698292,158.648,rational,157.5,0.00723623,158.608,0.00698273,157.689,0.0011974
LaB2,sigma-vs-pi,SC_Binary,rational,inter,gap(sigma) / gap(pi),,,,1.38561,rational,1.4,0.0103848,1.38561,0.0103848,1.38561,0.0103848
LaB2,sigma-vs-pi,SC_Binary,rational,inter,Debye(sigma) / Debye(pi),,,,1.05903,rational,1,0.0557403,1.05903,0.0557403,1.05903,0.0557403
